Размер	Потоки	Время(мс)
100	1	4.45
100	2	3.72
100	4	2.26
100	8	2.04
100	16	2.56
200	1	45.10
200	2	26.60
200	4	17.45
200	8	10.99
200	16	11.73
300	1	143.09
300	2	79.88
300	4	50.58
300	8	34.37
300	16	30.13
400	1	328.50
400	2	213.54
400	4	137.20
400	8	85.08
400	16	61.70
500	1	475.06
500	2	253.20
500	4	146.79
500	8	89.94
500	16	80.58
600	1	761.82
600	2	425.28
600	4	293.67
600	8	181.68
600	16	145.68
700	1	1210.19
700	2	757.10
700	4	478.35
700	8	286.36
700	16	217.08
800	1	1807.10
800	2	1286.69
800	4	712.84
800	8	432.92
800	16	325.95
900	1	2705.87
900	2	1444.61
900	4	827.25
900	8	559.26
900	16	520.77
1000	1	3935.25
1000	2	2136.09
1000	4	1225.43
1000	8	784.29
1000	16	833.15
